tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
71277,71277,tsugca,715,A,A,33.8
71277,71278,tsugca,715,D,D,16.7
71279,71279,tsugca,715,A,A,44.9
71280,71280,tsugca,715,A,A,1.2
71281,71281,tsugca,715,A,A,1.4
71282,71282,tsugca,715,A,A,1
71283,71283,tsugca,715,A,A,1.4
71284,71284,tsugca,715,A,A,1
71285,71285,tsugca,715,A,A,1.2
71286,71286,tsugca,715,A,A,1.3
71287,71287,tsugca,715,A,A,1.2
71288,71288,tsugca,715,A,A,1.6
71289,71289,tsugca,715,A,A,33.9
71290,71290,tsugca,715,A,A,1.2
71291,71291,tsugca,715,A,A,2.1
71292,71292,tsugca,715,A,A,23.5
71293,71293,tsugca,715,A,A,1
71294,71294,tsugca,715,A,A,1.4
71295,71295,tsugca,715,A,A,1
71296,71296,tsugca,715,A,O,1.4
71297,71297,tsugca,715,A,A,70.3
71298,71298,tsugca,715,D,D,37.2
71299,71299,tsugca,715,A,A,3.2
71300,71300,tsugca,715,A,A,4.1
71301,71301,tsugca,715,A,A,1.4
71302,71302,tsugca,715,A,A,2
71303,71303,tsugca,715,A,A,1.1
71304,71304,tsugca,715,A,A,1.7
71305,71305,tsugca,715,A,A,1
71306,71306,tsugca,715,A,A,1.3
71307,71307,tsugca,715,A,A,1.3
71308,71308,tsugca,715,A,A,56.1
71309,71309,tsugca,715,A,D,17.4
71310,71310,tsugca,715,A,A,39
71311,71311,tsugca,715,A,A,41.6
71312,71312,tsugca,715,A,A,1.5
71313,71313,tsugca,716,A,A,2.6
71314,71314,tsugca,716,A,D,7.5
71315,71315,tsugca,716,A,A,2.3
71316,71316,tsugca,716,A,A,8
71317,71317,tsugca,716,A,D,3.8
71318,71318,betual,716,A,A,25.4
71319,71319,tsugca,716,A,A,2.2
71320,71320,tsugca,716,A,D,2.7
71321,71321,tsugca,716,A,A,4.4
71322,71322,tsugca,716,A,A,3.4
71323,71323,tsugca,716,A,A,1.8
71324,71324,tsugca,716,A,A,3.3
71325,71325,tsugca,716,A,A,2.8
71326,71326,tsugca,716,A,O,2.1
71327,71327,tsugca,716,A,A,1.2
71328,71328,tsugca,716,A,D,1.4
71329,71329,tsugca,716,A,A,1
71330,71330,tsugca,716,A,A,3.2
71331,71331,tsugca,716,A,A,58.4
71332,71332,tsugca,716,A,A,2
71333,71333,tsugca,716,A,A,5.7
71334,71334,tsugca,716,A,A,2.7
71335,71335,tsugca,716,A,A,2.2
71336,71336,tsugca,716,A,A,4.1
71337,71337,tsugca,716,A,O,1.3
71338,71338,tsugca,716,A,O,1.9
71339,71339,tsugca,716,D,D,13.4
71340,71340,tsugca,716,A,O,1.1
71341,71341,tsugca,716,A,A,54.1
71342,71342,tsugca,716,A,A,2.3
71343,71343,tsugca,716,A,D,4.8
71344,71344,tsugca,716,A,A,1.7
71345,71345,tsugca,716,A,A,3.3
71346,71346,tsugca,716,A,A,4.2
71347,71347,tsugca,716,A,A,3.4
71348,71348,tsugca,716,A,A,2.5
71349,71349,tsugca,716,A,A,1.9
71350,71350,acerpe,716,D,D,15.1
71351,71351,tsugca,716,D,D,5.7
71352,71352,tsugca,716,A,D,5.7
71353,71353,tsugca,716,A,A,5.9
71354,71354,tsugca,716,A,A,58.1
71354,71355,tsugca,716,A,D,36.5
71356,71356,tsugca,716,A,A,5.1
71357,71357,tsugca,716,A,A,2.7
71358,71358,tsugca,716,A,A,2.2
71359,71359,tsugca,716,A,A,35
71360,71360,tsugca,716,D,D,17
71361,71361,tsugca,716,D,D,11.4
71362,71362,tsugca,716,A,A,2.3
71363,71363,tsugca,716,A,A,2
71364,71364,pinust,716,A,A,43.2
71365,71365,tsugca,716,A,A,42.2
71366,71366,tsugca,716,A,A,1.8
71367,71367,tsugca,716,A,A,1.6
71368,71368,tsugca,716,A,A,2.5
71369,71369,tsugca,716,A,A,61.2
71370,71370,tsugca,716,D,D,18.7
71371,71371,tsugca,716,A,A,3.2
71372,71372,tsugca,716,A,A,4.1
71373,71373,tsugca,716,A,A,3.2
71374,71374,tsugca,716,A,A,1.6
71375,71375,tsugca,716,A,O,9.6
71376,71376,tsugca,716,A,D,2.1
71377,71377,tsugca,716,A,A,2.1
71378,71378,tsugca,716,A,A,1.5
71379,71379,tsugca,716,A,A,1.9
71380,71380,tsugca,716,A,A,1
71381,71381,tsugca,716,A,A,1.3
71382,71382,tsugca,716,A,A,1.2
71383,71383,tsugca,716,A,A,1.3
71384,71384,tsugca,716,A,A,1.6
71385,71385,tsugca,716,A,A,1.3
71386,71386,tsugca,716,A,A,1.3
71387,71387,tsugca,716,A,A,1.2
71388,71388,tsugca,717,A,A,3.1
71389,71389,tsugca,717,A,A,3.1
71390,71390,tsugca,717,A,D,1.3
71391,71391,tsugca,717,A,A,3.1
71392,71392,tsugca,717,A,A,2.8
71393,71393,tsugca,717,A,A,41.7
71394,71394,tsugca,717,A,A,31.6
71395,71395,tsugca,717,A,A,2.1
71396,71396,acerpe,717,A,O,11.2
71397,71397,tsugca,717,A,D,2.3
71398,71398,tsugca,717,A,A,3.1
71399,71399,tsugca,717,A,A,36.6
71400,71400,tsugca,716,A,O,1.2
71401,71401,tsugca,717,A,A,35.1
71402,71402,tsugca,717,A,A,1.6
71403,71403,tsugca,717,A,D,3.9
71404,71404,tsugca,717,A,A,1.7
71405,71405,tsugca,717,A,D,1.1
71406,71406,pinust,717,A,O,43.2
71407,71407,tsugca,717,A,A,1.6
71408,71408,tsugca,717,A,A,3
71409,71409,tsugca,717,A,A,2.4
71410,71410,tsugca,717,A,D,2.8
71411,71411,tsugca,717,A,A,3.2
71412,71412,tsugca,717,A,D,3.2
71413,71413,tsugca,717,A,A,4.2
71414,71414,tsugca,717,D,D,76.5
71415,71415,tsugca,717,A,D,3.1
71416,71416,tsugca,717,A,D,1.2
71417,71417,tsugca,717,A,A,2.3
71418,71418,tsugca,717,A,A,2.8
71419,71419,tsugca,717,A,A,3.6
71420,71420,tsugca,717,A,D,11.7
71421,71421,tsugca,717,A,A,2.7
71422,71422,tsugca,717,A,A,1.5
71423,71423,tsugca,717,A,A,34.7
71424,71424,tsugca,717,A,A,3.6
71425,71425,tsugca,717,A,A,51.8
71426,71426,tsugca,717,A,A,1.7
71427,71427,tsugca,717,D,D,13.4
71428,71428,tsugca,717,A,A,14.7
71429,71429,tsugca,717,A,D,2.2
71430,71430,tsugca,717,A,D,7.9
71431,71431,acerru,717,A,O,23
71432,71432,querru,717,D,D,10.8
71433,71433,tsugca,717,A,A,11.6
71434,71434,tsugca,717,A,A,1.4
71435,71435,tsugca,717,A,D,9.5
71436,71436,tsugca,717,A,A,1.6
71437,71437,tsugca,717,D,D,5.5
71438,71438,tsugca,717,A,A,19.1
71439,71439,tsugca,717,A,A,57.1
71440,71440,acerru,717,A,O,36.5
71441,71441,tsugca,717,A,A,3.1
71442,71442,tsugca,717,A,A,2.6
71443,71443,tsugca,717,A,A,2.4
71444,71444,tsugca,717,A,A,3.1
71445,71445,tsugca,717,A,A,48.1
71446,71446,tsugca,717,A,A,1.7
71447,71447,tsugca,717,A,A,2.2
71448,71448,tsugca,717,A,A,2.6
71449,71449,tsugca,718,A,A,5.1
71450,71450,tsugca,718,A,A,5
71451,71451,tsugca,718,A,A,8.4
71452,71452,tsugca,718,A,A,6.8
71453,71453,tsugca,718,A,A,3.5
71454,71454,tsugca,718,A,D,2.3
71455,71455,tsugca,718,A,A,28
71456,71456,tsugca,718,D,D,7
71457,71457,tsugca,718,A,A,5.4
71458,71458,tsugca,718,A,A,9.1
71459,71459,betule,718,A,O,7.3
71460,71460,tsugca,718,A,D,3.6
71461,71461,tsugca,718,A,A,7.1
71462,71462,tsugca,718,A,D,6
71463,71463,tsugca,718,A,A,3.4
71464,71464,tsugca,718,A,A,3.6
71465,71465,betual,718,A,O,9.3
71466,71466,betule,718,A,O,4.8
71467,71467,betupa,718,A,O,10.5
71468,71468,tsugca,718,A,A,10.5
71469,71469,tsugca,718,A,A,2.5
71470,71470,deadhw,718,D,D,12.3
71471,71471,betule,718,A,O,8.1
71472,71472,betule,718,A,O,22.7
71473,71473,tsugca,718,A,A,22.5
71474,71474,tsugca,718,A,A,17.9
71475,71475,betule,718,A,O,13.4
71476,71476,betule,718,A,O,17.2
71477,71477,tsugca,718,A,D,2.5
71478,71478,acerru,718,A,O,24
71479,71479,tsugca,718,A,A,17.6
71480,71480,tsugca,718,A,D,5.4
71481,71481,tsugca,718,A,A,8.9
71482,71482,tsugca,718,A,A,1.7
71483,71483,tsugca,718,A,D,1.7
71484,71484,tsugca,718,A,A,11
71485,71485,tsugca,718,A,D,3.5
71485,71486,tsugca,718,A,D,5.3
71487,71487,tsugca,718,A,A,7.1
71488,71488,tsugca,718,A,A,19
71489,71489,betule,718,A,O,8.4
71490,71490,tsugca,718,A,A,10.2
71490,71491,tsugca,718,D,D,7.7
71492,71492,betule,718,A,A,22.6
71493,71493,betule,718,A,O,20.1
71494,71494,tsugca,718,A,A,8.8
71495,71495,tsugca,718,A,A,10.4
71496,71496,betule,718,A,O,3.7
71497,71497,betule,718,A,O,12.9
71498,71498,tsugca,718,A,A,6.5
71499,71499,tsugca,718,A,A,15
71500,71500,betule,718,A,O,23
71500,71501,betule,718,A,O,21.9
71502,71502,betule,718,A,O,6.2
71503,71503,tsugca,718,A,A,7.6
71504,71504,tsugca,718,A,A,1.3
71505,71505,kalmla,718,A,O,1.7
71506,71506,kalmla,718,A,O,3.4
71507,71507,kalmla,718,A,O,2.1
71508,71508,betule,718,A,O,8.1
71509,71509,tsugca,718,A,A,8.5
71510,71510,tsugca,718,A,A,10.9
71511,71511,tsugca,718,A,A,8.5
71511,71512,tsugca,718,A,D,3.1
71513,71513,tsugca,718,A,A,1.2
71514,71514,tsugca,718,A,O,1.4
71515,71515,tsugca,718,A,O,2
